genre,text_utilization,image_utilization,text_contribution,image_contribution,interaction
GLOBAL,0.43349092221315955,0.5665090777868405,0.029231108725070953,-0.03820077329874039,0.041634514927864075
Drama,0.47169466040900176,0.5283053395909982,0.06886748969554901,-0.07713265717029572,0.0005743801593780518
Comedy,0.07138291435633529,0.9286170856436647,0.00685274600982666,0.08914706110954285,-0.03247225284576416
Romance,0.9920624538529094,0.007937546147090586,0.16487637162208557,-0.0013191848993301392,-0.016003698110580444
Thriller,0.8454666668898495,0.15453333311015052,0.1580570563673973,-0.028889469802379608,-0.010573938488960266
Crime,0.7426594593006568,0.25734054069934315,0.09492508322000504,-0.03289269655942917,0.0022560805082321167
Action,0.46901668186104695,0.530983318138953,0.1189701184630394,0.13468848913908005,-0.032183483242988586
Adventure,0.5369837936719868,0.4630162063280132,0.09833930432796478,0.08479341864585876,-0.03753763437271118
Horror,0.35685372529641674,0.6431462747035833,0.034403711557388306,-0.062004730105400085,0.018552839756011963
Documentary,0.5141919188844162,0.48580808111558377,-0.32215941697359085,-0.30437593907117844,0.4331636279821396
Mystery,0.511553162316258,0.48844683768374203,0.13051599636673927,-0.1246207244694233,0.012106277048587799
Sci-Fi,0.9356669284766931,0.06433307152330688,0.07599396258592606,0.00522506982088089,-0.003633275628089905
Fantasy,0.9046126117216415,0.09538738827835848,0.0861416608095169,0.009083256125450134,-0.006889313459396362
Family,0.02973260876256585,0.9702673912374341,0.001633714884519577,0.05331319198012352,-0.0286804661154747
Biography,0.16440291392776724,0.8355970860722327,-0.018724828958511353,-0.09517113864421844,0.09533223509788513
War,0.6557386315623456,0.3442613684376545,0.10062924958765507,-0.05283013917505741,0.01671074703335762
History,0.4304131071165566,0.5695868928834433,0.051354389637708664,-0.06795979663729668,0.06094273179769516
Music,0.2882315162989802,0.7117684837010197,-0.014672636985778809,-0.036233097314834595,0.03430160880088806
Animation,0.5903454618129733,0.40965453818702674,-0.04892343655228615,-0.0339491181075573,0.04510844498872757
Musical,0.9369406249546225,0.06305937504537751,0.05384304001927376,-0.003623824566602707,-0.010051734745502472
Western,0.820965969273663,0.17903403072633692,0.0680246977135539,0.014834641478955746,-0.012067509815096855
Sport,0.9794413734908995,0.020558626509100484,0.02926505357027054,-0.0006142780184745789,0.0040498822927474976
Short,0.48586335995227947,0.5141366400477205,-0.3113197200000286,-0.3294359855353832,0.4577042832970619
Film-Noir,0.7089276272826411,0.29107237271735886,0.04542188937193714,-0.018649374920642003,-0.03311493276851252
